ts,iso,port,address,kind,name,value,unit,extra
1758486767.083,2025-09-21 22:32:47,/dev/ttyUSB0,3,measure,fMeasure,25.51906,,40 samples
1758486827.083,2025-09-21 22:33:47,/dev/ttyUSB0,3,measure,fMeasure,31.48810,,38 samples
1758486887.083,2025-09-21 22:34:47,/dev/ttyUSB0,3,measure,fMeasure,31.43856,,46 samples
1758486947.286,2025-09-21 22:35:47,/dev/ttyUSB0,3,measure,fMeasure,31.39434,,62 samples
1758487007.482,2025-09-21 22:36:47,/dev/ttyUSB0,3,measure,fMeasure,31.34068,,56 samples
1758487067.483,2025-09-21 22:37:47,/dev/ttyUSB0,3,measure,fMeasure,31.30416,,53 samples
1758487127.483,2025-09-21 22:38:47,/dev/ttyUSB0,3,measure,fMeasure,31.27682,,40 samples
1758487187.483,2025-09-21 22:39:47,/dev/ttyUSB0,3,measure,fMeasure,31.20776,,47 samples
1758487247.683,2025-09-21 22:40:47,/dev/ttyUSB0,3,measure,fMeasure,31.14027,,48 samples
1758487307.882,2025-09-21 22:41:47,/dev/ttyUSB0,3,measure,fMeasure,31.13697,,48 samples
1758487367.882,2025-09-21 22:42:47,/dev/ttyUSB0,3,measure,fMeasure,31.05015,,57 samples
1758487427.883,2025-09-21 22:43:47,/dev/ttyUSB0,3,measure,fMeasure,31.05380,,45 samples
1758487488.083,2025-09-21 22:44:48,/dev/ttyUSB0,3,measure,fMeasure,31.03418,,52 samples
1758487548.084,2025-09-21 22:45:48,/dev/ttyUSB0,3,measure,fMeasure,30.99766,,35 samples
1758487608.283,2025-09-21 22:46:48,/dev/ttyUSB0,3,measure,fMeasure,30.97621,,46 samples
1758487668.486,2025-09-21 22:47:48,/dev/ttyUSB0,3,measure,fMeasure,30.96958,,58 samples
1758487728.683,2025-09-21 22:48:48,/dev/ttyUSB0,3,measure,fMeasure,30.94217,,46 samples
1758487788.683,2025-09-21 22:49:48,/dev/ttyUSB0,3,measure,fMeasure,30.93930,,41 samples
1758487848.683,2025-09-21 22:50:48,/dev/ttyUSB0,3,measure,fMeasure,30.91036,,71 samples
1758487908.883,2025-09-21 22:51:48,/dev/ttyUSB0,3,measure,fMeasure,30.82343,,51 samples
1758487968.883,2025-09-21 22:52:48,/dev/ttyUSB0,3,measure,fMeasure,30.85016,,62 samples
1758488028.883,2025-09-21 22:53:48,/dev/ttyUSB0,3,measure,fMeasure,30.87887,,40 samples
1758488089.083,2025-09-21 22:54:49,/dev/ttyUSB0,3,measure,fMeasure,30.87543,,59 samples
1758488149.283,2025-09-21 22:55:49,/dev/ttyUSB0,3,measure,fMeasure,30.86201,,50 samples
1758488209.483,2025-09-21 22:56:49,/dev/ttyUSB0,3,measure,fMeasure,30.83456,,55 samples
1758488269.484,2025-09-21 22:57:49,/dev/ttyUSB0,3,measure,fMeasure,30.49226,,43 samples
1758488329.683,2025-09-21 22:58:49,/dev/ttyUSB0,3,measure,fMeasure,30.87167,,41 samples
1758488389.882,2025-09-21 22:59:49,/dev/ttyUSB0,3,measure,fMeasure,30.83128,,52 samples
1758488449.883,2025-09-21 23:00:49,/dev/ttyUSB0,3,measure,fMeasure,30.81144,,58 samples
1758488509.883,2025-09-21 23:01:49,/dev/ttyUSB0,3,measure,fMeasure,30.83552,,55 samples
1758488570.082,2025-09-21 23:02:50,/dev/ttyUSB0,3,measure,fMeasure,30.80493,,51 samples
1758488630.283,2025-09-21 23:03:50,/dev/ttyUSB0,3,measure,fMeasure,30.80758,,35 samples
1758488690.285,2025-09-21 23:04:50,/dev/ttyUSB0,3,measure,fMeasure,30.80816,,47 samples
1758488750.483,2025-09-21 23:05:50,/dev/ttyUSB0,3,measure,fMeasure,30.80216,,51 samples
1758488810.484,2025-09-21 23:06:50,/dev/ttyUSB0,3,measure,fMeasure,30.80178,,52 samples
1758488870.682,2025-09-21 23:07:50,/dev/ttyUSB0,3,measure,fMeasure,30.79378,,54 samples
1758488930.683,2025-09-21 23:08:50,/dev/ttyUSB0,3,measure,fMeasure,30.77720,,48 samples
1758488990.882,2025-09-21 23:09:50,/dev/ttyUSB0,3,measure,fMeasure,30.79256,,42 samples
1758489050.883,2025-09-21 23:10:50,/dev/ttyUSB0,3,measure,fMeasure,30.76617,,58 samples
1758489111.083,2025-09-21 23:11:51,/dev/ttyUSB0,3,measure,fMeasure,30.74699,,44 samples
1758489171.283,2025-09-21 23:12:51,/dev/ttyUSB0,3,measure,fMeasure,30.79911,,51 samples
1758489231.483,2025-09-21 23:13:51,/dev/ttyUSB0,3,measure,fMeasure,30.76243,,55 samples
1758489291.483,2025-09-21 23:14:51,/dev/ttyUSB0,3,measure,fMeasure,30.71678,,59 samples
1758489351.483,2025-09-21 23:15:51,/dev/ttyUSB0,3,measure,fMeasure,30.75281,,50 samples
1758489411.683,2025-09-21 23:16:51,/dev/ttyUSB0,3,measure,fMeasure,30.73500,,49 samples
1758489471.883,2025-09-21 23:17:51,/dev/ttyUSB0,3,measure,fMeasure,30.73843,,37 samples
1758489532.083,2025-09-21 23:18:52,/dev/ttyUSB0,3,measure,fMeasure,30.74707,,44 samples
1758489592.083,2025-09-21 23:19:52,/dev/ttyUSB0,3,measure,fMeasure,30.73507,,46 samples
1758489652.283,2025-09-21 23:20:52,/dev/ttyUSB0,3,measure,fMeasure,30.70898,,51 samples
1758489712.483,2025-09-21 23:21:52,/dev/ttyUSB0,3,measure,fMeasure,30.72759,,57 samples
1758489772.683,2025-09-21 23:22:52,/dev/ttyUSB0,3,measure,fMeasure,30.71246,,50 samples
1758489832.683,2025-09-21 23:23:52,/dev/ttyUSB0,3,measure,fMeasure,30.70396,,47 samples
1758489892.683,2025-09-21 23:24:52,/dev/ttyUSB0,3,measure,fMeasure,30.68247,,45 samples
1758489952.884,2025-09-21 23:25:52,/dev/ttyUSB0,3,measure,fMeasure,30.68507,,51 samples
1758490013.085,2025-09-21 23:26:53,/dev/ttyUSB0,3,measure,fMeasure,30.69127,,44 samples
1758490073.283,2025-09-21 23:27:53,/dev/ttyUSB0,3,measure,fMeasure,30.69000,,39 samples
