ts,iso,port,address,kind,name,value,unit,extra
1758486720.887,2025-09-21 22:32:00,/dev/ttyUSB1,5,setpoint,fSetpoint,10.0,,
1758486767.087,2025-09-21 22:32:47,/dev/ttyUSB1,5,measure,fMeasure,7.10999,,42 samples
1758486827.284,2025-09-21 22:33:47,/dev/ttyUSB1,5,measure,fMeasure,9.99224,,47 samples
1758486887.489,2025-09-21 22:34:47,/dev/ttyUSB1,5,measure,fMeasure,9.99394,,36 samples
1758486947.684,2025-09-21 22:35:47,/dev/ttyUSB1,5,measure,fMeasure,9.99452,,53 samples
1758487007.883,2025-09-21 22:36:47,/dev/ttyUSB1,5,measure,fMeasure,9.99496,,64 samples
1758487067.884,2025-09-21 22:37:47,/dev/ttyUSB1,5,measure,fMeasure,9.99649,,51 samples
1758487128.083,2025-09-21 22:38:48,/dev/ttyUSB1,5,measure,fMeasure,9.99670,,59 samples
1758487188.083,2025-09-21 22:39:48,/dev/ttyUSB1,5,measure,fMeasure,9.99581,,55 samples
1758487248.083,2025-09-21 22:40:48,/dev/ttyUSB1,5,measure,fMeasure,9.99704,,40 samples
1758487308.086,2025-09-21 22:41:48,/dev/ttyUSB1,5,measure,fMeasure,9.99700,,49 samples
1758487368.086,2025-09-21 22:42:48,/dev/ttyUSB1,5,measure,fMeasure,9.99659,,53 samples
1758487428.283,2025-09-21 22:43:48,/dev/ttyUSB1,5,measure,fMeasure,9.99747,,46 samples
1758487488.483,2025-09-21 22:44:48,/dev/ttyUSB1,5,measure,fMeasure,9.99692,,44 samples
1758487548.485,2025-09-21 22:45:48,/dev/ttyUSB1,5,measure,fMeasure,9.99765,,55 samples
1758487608.682,2025-09-21 22:46:48,/dev/ttyUSB1,5,measure,fMeasure,9.99749,,49 samples
1758487668.686,2025-09-21 22:47:48,/dev/ttyUSB1,5,measure,fMeasure,9.99898,,41 samples
1758487728.883,2025-09-21 22:48:48,/dev/ttyUSB1,5,measure,fMeasure,9.99739,,48 samples
1758487788.883,2025-09-21 22:49:48,/dev/ttyUSB1,5,measure,fMeasure,9.99847,,56 samples
1758487849.082,2025-09-21 22:50:49,/dev/ttyUSB1,5,measure,fMeasure,9.99909,,49 samples
1758487909.083,2025-09-21 22:51:49,/dev/ttyUSB1,5,measure,fMeasure,9.99763,,63 samples
1758487969.283,2025-09-21 22:52:49,/dev/ttyUSB1,5,measure,fMeasure,9.99792,,48 samples
1758488029.283,2025-09-21 22:53:49,/dev/ttyUSB1,5,measure,fMeasure,9.99938,,45 samples
1758488089.283,2025-09-21 22:54:49,/dev/ttyUSB1,5,measure,fMeasure,9.99881,,34 samples
1758488149.483,2025-09-21 22:55:49,/dev/ttyUSB1,5,measure,fMeasure,9.99909,,47 samples
1758488209.484,2025-09-21 22:56:49,/dev/ttyUSB1,5,measure,fMeasure,9.99843,,57 samples
1758488269.682,2025-09-21 22:57:49,/dev/ttyUSB1,5,measure,fMeasure,9.99803,,48 samples
1758488329.683,2025-09-21 22:58:49,/dev/ttyUSB1,5,measure,fMeasure,9.99927,,38 samples
1758488389.884,2025-09-21 22:59:49,/dev/ttyUSB1,5,measure,fMeasure,9.99921,,53 samples
1758488449.886,2025-09-21 23:00:49,/dev/ttyUSB1,5,measure,fMeasure,9.99957,,55 samples
1758488510.083,2025-09-21 23:01:50,/dev/ttyUSB1,5,measure,fMeasure,9.99870,,44 samples
1758488570.083,2025-09-21 23:02:50,/dev/ttyUSB1,5,measure,fMeasure,9.99964,,51 samples
1758488630.083,2025-09-21 23:03:50,/dev/ttyUSB1,5,measure,fMeasure,9.99938,,49 samples
1758488690.284,2025-09-21 23:04:50,/dev/ttyUSB1,5,measure,fMeasure,9.99936,,42 samples
1758488750.483,2025-09-21 23:05:50,/dev/ttyUSB1,5,measure,fMeasure,9.99915,,53 samples
1758488810.483,2025-09-21 23:06:50,/dev/ttyUSB1,5,measure,fMeasure,9.99986,,53 samples
1758488870.684,2025-09-21 23:07:50,/dev/ttyUSB1,5,measure,fMeasure,9.99917,,55 samples
1758488930.883,2025-09-21 23:08:50,/dev/ttyUSB1,5,measure,fMeasure,9.99930,,35 samples
1758488991.083,2025-09-21 23:09:51,/dev/ttyUSB1,5,measure,fMeasure,9.99950,,44 samples
1758489051.283,2025-09-21 23:10:51,/dev/ttyUSB1,5,measure,fMeasure,9.99789,,47 samples
1758489111.483,2025-09-21 23:11:51,/dev/ttyUSB1,5,measure,fMeasure,9.99824,,48 samples
1758489171.682,2025-09-21 23:12:51,/dev/ttyUSB1,5,measure,fMeasure,9.99949,,45 samples
1758489231.682,2025-09-21 23:13:51,/dev/ttyUSB1,5,measure,fMeasure,9.99882,,45 samples
1758489291.683,2025-09-21 23:14:51,/dev/ttyUSB1,5,measure,fMeasure,9.99832,,41 samples
1758489351.883,2025-09-21 23:15:51,/dev/ttyUSB1,5,measure,fMeasure,9.99946,,54 samples
1758489412.083,2025-09-21 23:16:52,/dev/ttyUSB1,5,measure,fMeasure,9.99866,,52 samples
1758489472.285,2025-09-21 23:17:52,/dev/ttyUSB1,5,measure,fMeasure,10.00008,,42 samples
