ts,iso,port,address,kind,name,value,unit,extra,usertag
1758623831.488,2025-09-23 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00994,,1 samples,CO2
1758627431.488,2025-09-23 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00107,,2 samples,CO2
1758631031.488,2025-09-23 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00188,,1 samples,CO2
1758634631.488,2025-09-23 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00012,,1 samples,CO2
1758638231.488,2025-09-23 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99700,,1 samples,CO2
1758641831.488,2025-09-23 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99304,,1 samples,CO2
1758645431.488,2025-09-23 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99673,,5 samples,CO2
1758649031.488,2025-09-23 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00048,,1 samples,CO2
1758652631.488,2025-09-23 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00027,,1 samples,CO2
1758656231.488,2025-09-23 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99778,,2 samples,CO2
1758659831.488,2025-09-23 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99528,,1 samples,CO2
1758663431.488,2025-09-23 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00347,,1 samples,CO2
1758667031.488,2025-09-24 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99671,,2 samples,CO2
1758670631.488,2025-09-24 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99937,,1 samples,CO2
1758674231.488,2025-09-24 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00036,,1 samples,CO2
1758677831.488,2025-09-24 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00408,,1 samples,CO2
1758681431.488,2025-09-24 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00224,,1 samples,CO2
1758685031.488,2025-09-24 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00457,,1 samples,CO2
1758688631.488,2025-09-24 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99968,,1 samples,CO2
1758692231.488,2025-09-24 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00578,,1 samples,CO2
1758695831.488,2025-09-24 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99921,,3 samples,CO2
1758699431.488,2025-09-24 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.99890,,3 samples,CO2
1758703031.488,2025-09-24 10:37:11,/dev/ttyUSB1,5,measure,fMeasure,11.96508,,2 samples,CO2
1758706631.488,2025-09-24 11:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00848,,1 samples,CO2
1758710231.488,2025-09-24 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,12.00662,,1 samples,CO2
1758710231.488,2025-09-24 12:37:11,/dev/ttyUSB1,5,setpoint,fSetpoint,20.0,,,CO2
1758713831.488,2025-09-24 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.09571,,1 samples,CO2
1758717431.488,2025-09-24 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.01195,,1 samples,CO2
1758721031.488,2025-09-24 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99677,,1 samples,CO2
1758724631.488,2025-09-24 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99958,,1 samples,CO2
1758728231.488,2025-09-24 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99877,,1 samples,CO2
1758731831.488,2025-09-24 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99896,,3 samples,CO2
1758735431.488,2025-09-24 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00432,,1 samples,CO2
1758739031.488,2025-09-24 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99726,,1 samples,CO2
1758742631.488,2025-09-24 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99919,,2 samples,CO2
1758746231.488,2025-09-24 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00010,,1 samples,CO2
1758749831.488,2025-09-24 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99910,,2 samples,CO2
1758753431.488,2025-09-25 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99357,,1 samples,CO2
1758757031.488,2025-09-25 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99978,,1 samples,CO2
1758760631.488,2025-09-25 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99943,,3 samples,CO2
1758764231.488,2025-09-25 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00026,,3 samples,CO2
1758767831.488,2025-09-25 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99847,,1 samples,CO2
1758771431.488,2025-09-25 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00250,,3 samples,CO2
1758775031.488,2025-09-25 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00224,,1 samples,CO2
1758778631.488,2025-09-25 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00109,,1 samples,CO2
1758782231.488,2025-09-25 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99979,,3 samples,CO2
1758785831.488,2025-09-25 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00368,,3 samples,CO2
1758789431.488,2025-09-25 10:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00196,,1 samples,CO2
1758793031.488,2025-09-25 11:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99936,,4 samples,CO2
1758796631.488,2025-09-25 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00098,,1 samples,CO2
1758800231.488,2025-09-25 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00031,,3 samples,CO2
1758803831.488,2025-09-25 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00011,,1 samples,CO2
1758807431.488,2025-09-25 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99967,,1 samples,CO2
1758811031.488,2025-09-25 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00359,,1 samples,CO2
1758814631.488,2025-09-25 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99776,,3 samples,CO2
1758818231.488,2025-09-25 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00222,,2 samples,CO2
1758818231.488,2025-09-25 18:37:11,/dev/ttyUSB1,5,setpoint,fSetpoint,40.0,,,CO2
1758821831.488,2025-09-25 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.20812,,1 samples,CO2
1758825431.488,2025-09-25 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.13106,,2 samples,CO2
1758829031.488,2025-09-25 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.07720,,1 samples,CO2
1758832631.488,2025-09-25 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.02398,,1 samples,CO2
1758836231.488,2025-09-25 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99669,,1 samples,CO2
1758839831.488,2025-09-26 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99584,,1 samples,CO2
1758843431.488,2025-09-26 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99486,,2 samples,CO2
1758847031.488,2025-09-26 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99768,,1 samples,CO2
1758850631.488,2025-09-26 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99731,,1 samples,CO2
1758854231.488,2025-09-26 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99895,,1 samples,CO2
1758857831.488,2025-09-26 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99811,,2 samples,CO2
1758861431.488,2025-09-26 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00209,,1 samples,CO2
1758865031.488,2025-09-26 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99753,,1 samples,CO2
1758868631.488,2025-09-26 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00281,,2 samples,CO2
1758872231.488,2025-09-26 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99888,,1 samples,CO2
