ts,iso,port,address,kind,name,value,unit,extra
1758486767.084,2025-09-21 22:32:47,/dev/ttyUSB2,3,measure,fMeasure,24.97406,,56 samples
1758486827.282,2025-09-21 22:33:47,/dev/ttyUSB2,3,measure,fMeasure,24.98547,,40 samples
1758486887.283,2025-09-21 22:34:47,/dev/ttyUSB2,3,measure,fMeasure,24.95200,,28 samples
1758486947.283,2025-09-21 22:35:47,/dev/ttyUSB2,3,measure,fMeasure,24.98489,,58 samples
1758487007.286,2025-09-21 22:36:47,/dev/ttyUSB2,3,measure,fMeasure,24.97762,,54 samples
1758487067.484,2025-09-21 22:37:47,/dev/ttyUSB2,3,measure,fMeasure,24.98934,,50 samples
1758487127.682,2025-09-21 22:38:47,/dev/ttyUSB2,3,measure,fMeasure,24.98035,,53 samples
1758487187.683,2025-09-21 22:39:47,/dev/ttyUSB2,3,measure,fMeasure,24.98763,,39 samples
1758487247.884,2025-09-21 22:40:47,/dev/ttyUSB2,3,measure,fMeasure,24.96909,,63 samples
1758487308.083,2025-09-21 22:41:48,/dev/ttyUSB2,3,measure,fMeasure,25.01424,,49 samples
1758487368.083,2025-09-21 22:42:48,/dev/ttyUSB2,3,measure,fMeasure,24.98335,,64 samples
1758487428.286,2025-09-21 22:43:48,/dev/ttyUSB2,3,measure,fMeasure,24.97445,,44 samples
1758487488.484,2025-09-21 22:44:48,/dev/ttyUSB2,3,measure,fMeasure,24.98679,,46 samples
1758487548.682,2025-09-21 22:45:48,/dev/ttyUSB2,3,measure,fMeasure,24.98463,,26 samples
1758487608.683,2025-09-21 22:46:48,/dev/ttyUSB2,3,measure,fMeasure,24.98566,,50 samples
1758487668.883,2025-09-21 22:47:48,/dev/ttyUSB2,3,measure,fMeasure,24.98909,,55 samples
1758487729.083,2025-09-21 22:48:49,/dev/ttyUSB2,3,measure,fMeasure,24.98564,,47 samples
1758487789.282,2025-09-21 22:49:49,/dev/ttyUSB2,3,measure,fMeasure,24.97495,,39 samples
1758487849.284,2025-09-21 22:50:49,/dev/ttyUSB2,3,measure,fMeasure,24.98560,,51 samples
1758487909.483,2025-09-21 22:51:49,/dev/ttyUSB2,3,measure,fMeasure,25.00154,,45 samples
1758487969.483,2025-09-21 22:52:49,/dev/ttyUSB2,3,measure,fMeasure,24.98081,,41 samples
1758488029.483,2025-09-21 22:53:49,/dev/ttyUSB2,3,measure,fMeasure,24.97257,,50 samples
1758488089.683,2025-09-21 22:54:49,/dev/ttyUSB2,3,measure,fMeasure,25.00039,,43 samples
1758488149.883,2025-09-21 22:55:49,/dev/ttyUSB2,3,measure,fMeasure,24.97822,,53 samples
1758488209.883,2025-09-21 22:56:49,/dev/ttyUSB2,3,measure,fMeasure,24.99128,,46 samples
1758488270.083,2025-09-21 22:57:50,/dev/ttyUSB2,3,measure,fMeasure,24.98797,,63 samples
1758488330.283,2025-09-21 22:58:50,/dev/ttyUSB2,3,measure,fMeasure,24.98775,,44 samples
1758488390.482,2025-09-21 22:59:50,/dev/ttyUSB2,3,measure,fMeasure,24.98962,,51 samples
1758488450.482,2025-09-21 23:00:50,/dev/ttyUSB2,3,measure,fMeasure,24.97991,,53 samples
1758488510.483,2025-09-21 23:01:50,/dev/ttyUSB2,3,measure,fMeasure,24.97808,,53 samples
1758488570.682,2025-09-21 23:02:50,/dev/ttyUSB2,3,measure,fMeasure,25.00665,,52 samples
1758488630.683,2025-09-21 23:03:50,/dev/ttyUSB2,3,measure,fMeasure,25.00189,,50 samples
1758488690.882,2025-09-21 23:04:50,/dev/ttyUSB2,3,measure,fMeasure,24.99485,,51 samples
1758488750.882,2025-09-21 23:05:50,/dev/ttyUSB2,3,measure,fMeasure,25.00916,,41 samples
1758488811.083,2025-09-21 23:06:51,/dev/ttyUSB2,3,measure,fMeasure,24.99954,,40 samples
1758488871.282,2025-09-21 23:07:51,/dev/ttyUSB2,3,measure,fMeasure,24.98148,,34 samples
1758488931.283,2025-09-21 23:08:51,/dev/ttyUSB2,3,measure,fMeasure,25.00197,,50 samples
1758488991.483,2025-09-21 23:09:51,/dev/ttyUSB2,3,measure,fMeasure,24.98366,,46 samples
1758489051.483,2025-09-21 23:10:51,/dev/ttyUSB2,3,measure,fMeasure,24.98818,,47 samples
1758489111.682,2025-09-21 23:11:51,/dev/ttyUSB2,3,measure,fMeasure,24.97623,,50 samples
1758489171.684,2025-09-21 23:12:51,/dev/ttyUSB2,3,measure,fMeasure,24.98470,,53 samples
1758489231.883,2025-09-21 23:13:51,/dev/ttyUSB2,3,measure,fMeasure,25.00608,,46 samples
1758489291.883,2025-09-21 23:14:51,/dev/ttyUSB2,3,measure,fMeasure,24.98090,,42 samples
1758489352.082,2025-09-21 23:15:52,/dev/ttyUSB2,3,measure,fMeasure,24.98304,,49 samples
1758489412.083,2025-09-21 23:16:52,/dev/ttyUSB2,3,measure,fMeasure,24.99329,,60 samples
1758489472.283,2025-09-21 23:17:52,/dev/ttyUSB2,3,measure,fMeasure,24.98732,,56 samples
1758489532.483,2025-09-21 23:18:52,/dev/ttyUSB2,3,measure,fMeasure,24.97852,,56 samples
1758489592.483,2025-09-21 23:19:52,/dev/ttyUSB2,3,measure,fMeasure,24.99838,,54 samples
1758489652.483,2025-09-21 23:20:52,/dev/ttyUSB2,3,measure,fMeasure,24.98303,,51 samples
1758489712.485,2025-09-21 23:21:52,/dev/ttyUSB2,3,measure,fMeasure,24.99544,,40 samples
1758489772.683,2025-09-21 23:22:52,/dev/ttyUSB2,3,measure,fMeasure,25.01777,,46 samples
1758489832.684,2025-09-21 23:23:52,/dev/ttyUSB2,3,measure,fMeasure,24.99225,,44 samples
1758489892.883,2025-09-21 23:24:52,/dev/ttyUSB2,3,measure,fMeasure,24.98799,,52 samples
1758489952.883,2025-09-21 23:25:52,/dev/ttyUSB2,3,measure,fMeasure,24.98705,,46 samples
1758490013.082,2025-09-21 23:26:53,/dev/ttyUSB2,3,measure,fMeasure,25.01807,,40 samples
1758490073.082,2025-09-21 23:27:53,/dev/ttyUSB2,3,measure,fMeasure,24.99286,,46 samples
1758490133.083,2025-09-21 23:28:53,/dev/ttyUSB2,3,measure,fMeasure,25.00024,,46 samples
1758490193.283,2025-09-21 23:29:53,/dev/ttyUSB2,3,measure,fMeasure,24.98559,,38 samples
1758490253.483,2025-09-21 23:30:53,/dev/ttyUSB2,3,measure,fMeasure,24.99687,,61 samples
1758490313.483,2025-09-21 23:31:53,/dev/ttyUSB2,3,measure,fMeasure,24.99317,,38 samples
1758490373.683,2025-09-21 23:32:53,/dev/ttyUSB2,3,measure,fMeasure,24.99681,,63 samples
1758490433.683,2025-09-21 23:33:53,/dev/ttyUSB2,3,measure,fMeasure,24.97969,,36 samples
1758490493.883,2025-09-21 23:34:53,/dev/ttyUSB2,3,measure,fMeasure,24.99984,,47 samples
1758490553.883,2025-09-21 23:35:53,/dev/ttyUSB2,3,measure,fMeasure,24.99300,,48 samples
1758490614.083,2025-09-21 23:36:54,/dev/ttyUSB2,3,measure,fMeasure,24.98257,,52 samples
1758490674.283,2025-09-21 23:37:54,/dev/ttyUSB2,3,measure,fMeasure,24.99817,,54 samples
1758490734.483,2025-09-21 23:38:54,/dev/ttyUSB2,3,measure,fMeasure,25.01023,,50 samples
1758490794.483,2025-09-21 23:39:54,/dev/ttyUSB2,3,measure,fMeasure,24.99897,,37 samples
1758490854.683,2025-09-21 23:40:54,/dev/ttyUSB2,3,measure,fMeasure,24.99174,,59 samples
1758490914.884,2025-09-21 23:41:54,/dev/ttyUSB2,3,measure,fMeasure,24.98297,,54 samples
1758490975.083,2025-09-21 23:42:55,/dev/ttyUSB2,3,measure,fMeasure,25.01362,,38 samples
1758491035.283,2025-09-21 23:43:55,/dev/ttyUSB2,3,measure,fMeasure,24.99491,,51 samples
1758491095.283,2025-09-21 23:44:55,/dev/ttyUSB2,3,measure,fMeasure,25.00327,,35 samples
