ts,iso,port,address,kind,name,value,unit,extra,usertag
1758623831.483,2025-09-23 12:37:11,/dev/ttyUSB2,3,measure,fMeasure,249.78609,,2 samples,H2
1758623832.684,2025-09-23 12:37:12,/dev/ttyUSB2,3,measure,fMeasure,250.05367,,1 samples,H2
1758623834.283,2025-09-23 12:37:14,/dev/ttyUSB2,3,measure,fMeasure,249.87352,,1 samples,H2
1758623835.483,2025-09-23 12:37:15,/dev/ttyUSB2,3,measure,fMeasure,249.85526,,1 samples,H2
1758623837.883,2025-09-23 12:37:17,/dev/ttyUSB2,3,measure,fMeasure,249.91294,,1 samples,H2
1758623838.887,2025-09-23 12:37:18,/dev/ttyUSB2,3,measure,fMeasure,249.93866,,2 samples,H2
1758623840.683,2025-09-23 12:37:20,/dev/ttyUSB2,3,measure,fMeasure,249.94984,,1 samples,H2
1758623841.887,2025-09-23 12:37:21,/dev/ttyUSB2,3,measure,fMeasure,249.91764,,4 samples,H2
1758623843.083,2025-09-23 12:37:23,/dev/ttyUSB2,3,measure,fMeasure,249.93286,,1 samples,H2
1758623844.285,2025-09-23 12:37:24,/dev/ttyUSB2,3,measure,fMeasure,249.92705,,2 samples,H2
1758623845.482,2025-09-23 12:37:25,/dev/ttyUSB2,3,measure,fMeasure,249.93421,,2 samples,H2
1758623846.883,2025-09-23 12:37:26,/dev/ttyUSB2,3,measure,fMeasure,249.94393,,1 samples,H2
1758623848.083,2025-09-23 12:37:28,/dev/ttyUSB2,3,measure,fMeasure,249.97769,,3 samples,H2
1758623849.084,2025-09-23 12:37:29,/dev/ttyUSB2,3,measure,fMeasure,249.90194,,1 samples,H2
1758623850.683,2025-09-23 12:37:30,/dev/ttyUSB2,3,measure,fMeasure,249.97151,,1 samples,H2
1758623854.085,2025-09-23 12:37:34,/dev/ttyUSB2,3,measure,fMeasure,249.95599,,1 samples,H2
1758623855.283,2025-09-23 12:37:35,/dev/ttyUSB2,3,measure,fMeasure,249.95990,,2 samples,H2
1758623856.283,2025-09-23 12:37:36,/dev/ttyUSB2,3,measure,fMeasure,250.00335,,2 samples,H2
1758623858.285,2025-09-23 12:37:38,/dev/ttyUSB2,3,measure,fMeasure,249.97836,,1 samples,H2
1758623859.485,2025-09-23 12:37:39,/dev/ttyUSB2,3,measure,fMeasure,249.97812,,1 samples,H2
1758623860.683,2025-09-23 12:37:40,/dev/ttyUSB2,3,measure,fMeasure,249.97816,,1 samples,H2
1758623861.887,2025-09-23 12:37:41,/dev/ttyUSB2,3,measure,fMeasure,250.03720,,1 samples,H2
1758623863.084,2025-09-23 12:37:43,/dev/ttyUSB2,3,measure,fMeasure,249.92204,,2 samples,H2
1758623864.283,2025-09-23 12:37:44,/dev/ttyUSB2,3,measure,fMeasure,249.95168,,1 samples,H2
1758623864.776,2025-09-23 12:37:44,/dev/ttyUSB2,3,setpoint,fSetpoint,260.0,,,H2
1758623865.483,2025-09-23 12:37:45,/dev/ttyUSB2,3,measure,fMeasure,250.53223,,2 samples,H2
1758623866.483,2025-09-23 12:37:46,/dev/ttyUSB2,3,measure,fMeasure,255.70726,,3 samples,H2
1758623867.683,2025-09-23 12:37:47,/dev/ttyUSB2,3,measure,fMeasure,258.50505,,2 samples,H2
1758623871.883,2025-09-23 12:37:51,/dev/ttyUSB2,3,measure,fMeasure,259.88204,,1 samples,H2
1758623872.883,2025-09-23 12:37:52,/dev/ttyUSB2,3,measure,fMeasure,259.93916,,2 samples,H2
1758623874.083,2025-09-23 12:37:54,/dev/ttyUSB2,3,measure,fMeasure,260.14025,,2 samples,H2
1758623875.283,2025-09-23 12:37:55,/dev/ttyUSB2,3,measure,fMeasure,259.94902,,1 samples,H2
1758623876.483,2025-09-23 12:37:56,/dev/ttyUSB2,3,measure,fMeasure,259.98111,,2 samples,H2
1758623877.683,2025-09-23 12:37:57,/dev/ttyUSB2,3,measure,fMeasure,260.00583,,4 samples,H2
1758623878.885,2025-09-23 12:37:58,/dev/ttyUSB2,3,measure,fMeasure,259.96119,,1 samples,H2
1758623880.083,2025-09-23 12:38:00,/dev/ttyUSB2,3,measure,fMeasure,259.97472,,1 samples,H2
1758623881.088,2025-09-23 12:38:01,/dev/ttyUSB2,3,measure,fMeasure,260.04682,,1 samples,H2
1758623882.483,2025-09-23 12:38:02,/dev/ttyUSB2,3,measure,fMeasure,260.02457,,1 samples,H2
1758623883.483,2025-09-23 12:38:03,/dev/ttyUSB2,3,measure,fMeasure,259.99888,,2 samples,H2
1758623885.884,2025-09-23 12:38:05,/dev/ttyUSB2,3,measure,fMeasure,260.02702,,1 samples,H2
1758623886.888,2025-09-23 12:38:06,/dev/ttyUSB2,3,measure,fMeasure,259.94190,,1 samples,H2
1758623889.482,2025-09-23 12:38:09,/dev/ttyUSB2,3,measure,fMeasure,260.01112,,1 samples,H2
1758623890.683,2025-09-23 12:38:10,/dev/ttyUSB2,3,measure,fMeasure,259.93248,,1 samples,H2
1758623891.883,2025-09-23 12:38:11,/dev/ttyUSB2,3,measure,fMeasure,260.00010,,1 samples,H2
1758623893.082,2025-09-23 12:38:13,/dev/ttyUSB2,3,measure,fMeasure,259.95839,,1 samples,H2
1758623895.085,2025-09-23 12:38:15,/dev/ttyUSB2,3,measure,fMeasure,260.01597,,1 samples,H2
1758623896.283,2025-09-23 12:38:16,/dev/ttyUSB2,3,measure,fMeasure,259.94861,,1 samples,H2
1758623897.290,2025-09-23 12:38:17,/dev/ttyUSB2,3,measure,fMeasure,259.88039,,1 samples,H2
1758623898.484,2025-09-23 12:38:18,/dev/ttyUSB2,3,measure,fMeasure,259.99976,,2 samples,H2
1758623899.682,2025-09-23 12:38:19,/dev/ttyUSB2,3,measure,fMeasure,259.97341,,1 samples,H2
1758623900.883,2025-09-23 12:38:20,/dev/ttyUSB2,3,measure,fMeasure,259.94325,,1 samples,H2
1758623902.083,2025-09-23 12:38:22,/dev/ttyUSB2,3,measure,fMeasure,259.96551,,1 samples,H2
1758623904.283,2025-09-23 12:38:24,/dev/ttyUSB2,3,measure,fMeasure,260.02942,,1 samples,H2
1758623905.482,2025-09-23 12:38:25,/dev/ttyUSB2,3,measure,fMeasure,260.05813,,2 samples,H2
1758623906.483,2025-09-23 12:38:26,/dev/ttyUSB2,3,measure,fMeasure,259.99279,,1 samples,H2
1758623907.883,2025-09-23 12:38:27,/dev/ttyUSB2,3,measure,fMeasure,260.01274,,1 samples,H2
1758623909.083,2025-09-23 12:38:29,/dev/ttyUSB2,3,measure,fMeasure,259.92420,,2 samples,H2
1758623910.483,2025-09-23 12:38:30,/dev/ttyUSB2,3,measure,fMeasure,259.90785,,1 samples,H2
